pergunta,resposta
"Como faço para cancelar minha assinatura?,""O curso custa R$ 3.365, com um plano anual de R$ 960."""
Quais são as formas de pagamento disponíveis?,Você pode entrar em contato com o suporte técnico pelo e-mail ou chat.
Qual é a política de reembolso?,Temos planos mensais e anuais disponíveis.
"Quais são os planos disponíveis?,""O curso custa R$ 3.365, com um plano anual de R$ 960."""
"Quais são os horários de atendimento?,""Para alterar sua senha, vá em configurações de conta."""
"Como entro em contato com o suporte técnico?,""O horário de atendimento é de segunda a sexta, das 9h às 18h."""
"Qual é a política de reembolso?,""O curso custa R$ 3.365, com um plano anual de R$ 960."""
"Quais são os horários de atendimento?,""Aceitamos pagamento por cartão de crédito, débito e boleto."""
"Como faço para alterar minha senha?,""Para publicar um vídeo, acesse o link e siga as instruções."""
"Como faço para alterar minha senha?,""Para alterar sua senha, vá em configurações de conta."""
"Quais são os horários de atendimento?,""Para cancelar sua assinatura, acesse sua conta e clique em 'Cancelar Assinatura'."""
"Quais são os horários de atendimento?,""Para alterar sua senha, vá em configurações de conta."""
"Quais são as formas de pagamento disponíveis?,""Para alterar sua senha, vá em configurações de conta."""
"Como faço para cancelar minha assinatura?,""Para publicar um vídeo, acesse o link e siga as instruções."""
"Quais são os valores dos cursos?,""Aceitamos pagamento por cartão de crédito, débito e boleto."""
"Quais são os valores dos cursos?,""Aceitamos pagamento por cartão de crédito, débito e boleto."""
Quais são os planos disponíveis?,Nossa política de reembolso é de 30 dias após a compra.
"Como faço para publicar um vídeo?,""Para publicar um vídeo, acesse o link e siga as instruções."""
Como entro em contato com o suporte técnico?,Nossa política de reembolso é de 30 dias após a compra.
"Como faço para alterar minha senha?,""O curso custa R$ 3.365, com um plano anual de R$ 960."""
Quais são os funcionários do setor de marketing?,Nossa política de reembolso é de 30 dias após a compra.
Quais são as formas de pagamento disponíveis?,Você pode entrar em contato com o suporte técnico pelo e-mail ou chat.
"Como faço para alterar minha senha?,""O curso custa R$ 3.365, com um plano anual de R$ 960."""
Qual é a política de reembolso?,Você pode entrar em contato com o suporte técnico pelo e-mail ou chat.
"Quais são os funcionários do setor de marketing?,""Lucas Petry é o gerente de marketing, Rodrigo Tadewald é o CMO."""
Quais são os planos disponíveis?,Nossa política de reembolso é de 30 dias após a compra.
"Quais são as formas de pagamento disponíveis?,""O curso custa R$ 3.365, com um plano anual de R$ 960."""
"Como faço para cancelar minha assinatura?,""O curso custa R$ 3.365, com um plano anual de R$ 960."""
"Como entro em contato com o suporte técnico?,""Para alterar sua senha, vá em configurações de conta."""
"Como faço para alterar minha senha?,""Aceitamos pagamento por cartão de crédito, débito e boleto."""
Quais são os valores dos cursos?,Temos planos mensais e anuais disponíveis.
Como entro em contato com o suporte técnico?,Você pode entrar em contato com o suporte técnico pelo e-mail ou chat.
"Quais são os funcionários do setor de marketing?,""Para alterar sua senha, vá em configurações de conta."""
Como faço para alterar minha senha?,Você pode entrar em contato com o suporte técnico pelo e-mail ou chat.
"Como faço para alterar minha senha?,""O horário de atendimento é de segunda a sexta, das 9h às 18h."""
Quais são os planos disponíveis?,Temos planos mensais e anuais disponíveis.
"Como faço para publicar um vídeo?,""Para alterar sua senha, vá em configurações de conta."""
Como entro em contato com o suporte técnico?,Temos planos mensais e anuais disponíveis.
"Quais são os funcionários do setor de marketing?,""Aceitamos pagamento por cartão de crédito, débito e boleto."""
Qual é a política de reembolso?,Temos planos mensais e anuais disponíveis.
"Qual é a política de reembolso?,""Para publicar um vídeo, acesse o link e siga as instruções."""
"Como entro em contato com o suporte técnico?,""Para alterar sua senha, vá em configurações de conta."""
Quais são os valores dos cursos?,Temos planos mensais e anuais disponíveis.
"Como entro em contato com o suporte técnico?,""O horário de atendimento é de segunda a sexta, das 9h às 18h."""
"Quais são os planos disponíveis?,""O curso custa R$ 3.365, com um plano anual de R$ 960."""
"Quais são as formas de pagamento disponíveis?,""Aceitamos pagamento por cartão de crédito, débito e boleto."""
"Como entro em contato com o suporte técnico?,""Para cancelar sua assinatura, acesse sua conta e clique em 'Cancelar Assinatura'."""
"Quais são os planos disponíveis?,""Para alterar sua senha, vá em configurações de conta."""
"Qual é a política de reembolso?,""Lucas Petry é o gerente de marketing, Rodrigo Tadewald é o CMO."""
"Como entro em contato com o suporte técnico?,""Aceitamos pagamento por cartão de crédito, débito e boleto."""
Quais são os planos disponíveis?,Nossa política de reembolso é de 30 dias após a compra.
"Quais são os horários de atendimento?,""O horário de atendimento é de segunda a sexta, das 9h às 18h."""
"Quais são os valores dos cursos?,""Para cancelar sua assinatura, acesse sua conta e clique em 'Cancelar Assinatura'."""
Quais são os horários de atendimento?,Temos planos mensais e anuais disponíveis.
Como faço para cancelar minha assinatura?,Você pode entrar em contato com o suporte técnico pelo e-mail ou chat.
"Como faço para cancelar minha assinatura?,""Para publicar um vídeo, acesse o link e siga as instruções."""
"Como entro em contato com o suporte técnico?,""Para publicar um vídeo, acesse o link e siga as instruções."""
"Como faço para cancelar minha assinatura?,""O curso custa R$ 3.365, com um plano anual de R$ 960."""
"Como faço para cancelar minha assinatura?,""O curso custa R$ 3.365, com um plano anual de R$ 960."""
"Quais são os planos disponíveis?,""Para cancelar sua assinatura, acesse sua conta e clique em 'Cancelar Assinatura'."""
Como entro em contato com o suporte técnico?,Nossa política de reembolso é de 30 dias após a compra.
Quais são as formas de pagamento disponíveis?,Você pode entrar em contato com o suporte técnico pelo e-mail ou chat.
"Qual é a política de reembolso?,""O curso custa R$ 3.365, com um plano anual de R$ 960."""
"Como faço para cancelar minha assinatura?,""Para publicar um vídeo, acesse o link e siga as instruções."""
"Quais são os valores dos cursos?,""O curso custa R$ 3.365, com um plano anual de R$ 960."""
Quais são as formas de pagamento disponíveis?,Nossa política de reembolso é de 30 dias após a compra.
"Qual é a política de reembolso?,""Para alterar sua senha, vá em configurações de conta."""
"Quais são os valores dos cursos?,""Aceitamos pagamento por cartão de crédito, débito e boleto."""
Qual é a política de reembolso?,Nossa política de reembolso é de 30 dias após a compra.
"Como faço para alterar minha senha?,""O horário de atendimento é de segunda a sexta, das 9h às 18h."""
"Quais são os funcionários do setor de marketing?,""O horário de atendimento é de segunda a sexta, das 9h às 18h."""
"Quais são as formas de pagamento disponíveis?,""Para cancelar sua assinatura, acesse sua conta e clique em 'Cancelar Assinatura'."""
"Como faço para cancelar minha assinatura?,""Lucas Petry é o gerente de marketing, Rodrigo Tadewald é o CMO."""
"Como faço para cancelar minha assinatura?,""Lucas Petry é o gerente de marketing, Rodrigo Tadewald é o CMO."""
"Quais são os funcionários do setor de marketing?,""O horário de atendimento é de segunda a sexta, das 9h às 18h."""
Como faço para cancelar minha assinatura?,Temos planos mensais e anuais disponíveis.
"Qual é a política de reembolso?,""Lucas Petry é o gerente de marketing, Rodrigo Tadewald é o CMO."""
"Como faço para publicar um vídeo?,""O curso custa R$ 3.365, com um plano anual de R$ 960."""
"Como entro em contato com o suporte técnico?,""Para cancelar sua assinatura, acesse sua conta e clique em 'Cancelar Assinatura'."""
Como entro em contato com o suporte técnico?,Você pode entrar em contato com o suporte técnico pelo e-mail ou chat.
"Como entro em contato com o suporte técnico?,""Para cancelar sua assinatura, acesse sua conta e clique em 'Cancelar Assinatura'."""
Quais são os valores dos cursos?,Temos planos mensais e anuais disponíveis.
"Quais são os horários de atendimento?,""Para alterar sua senha, vá em configurações de conta."""
"Qual é a política de reembolso?,""O horário de atendimento é de segunda a sexta, das 9h às 18h."""
"Como faço para publicar um vídeo?,""O curso custa R$ 3.365, com um plano anual de R$ 960."""
"Qual é a política de reembolso?,""Lucas Petry é o gerente de marketing, Rodrigo Tadewald é o CMO."""
"Quais são os funcionários do setor de marketing?,""O horário de atendimento é de segunda a sexta, das 9h às 18h."""
"Quais são os planos disponíveis?,""Lucas Petry é o gerente de marketing, Rodrigo Tadewald é o CMO."""
"Quais são os funcionários do setor de marketing?,""Lucas Petry é o gerente de marketing, Rodrigo Tadewald é o CMO."""
"Quais são os planos disponíveis?,""Para publicar um vídeo, acesse o link e siga as instruções."""
"Como faço para publicar um vídeo?,""Lucas Petry é o gerente de marketing, Rodrigo Tadewald é o CMO."""
"Quais são os funcionários do setor de marketing?,""Aceitamos pagamento por cartão de crédito, débito e boleto."""
"Como faço para publicar um vídeo?,""O horário de atendimento é de segunda a sexta, das 9h às 18h."""
"Como faço para publicar um vídeo?,""Para publicar um vídeo, acesse o link e siga as instruções."""
Qual é a política de reembolso?,Nossa política de reembolso é de 30 dias após a compra.
"Como entro em contato com o suporte técnico?,""Para alterar sua senha, vá em configurações de conta."""
"Quais são as formas de pagamento disponíveis?,""Para cancelar sua assinatura, acesse sua conta e clique em 'Cancelar Assinatura'."""
"Quais são os planos disponíveis?,""O horário de atendimento é de segunda a sexta, das 9h às 18h."""
Quais são os planos disponíveis?,Temos planos mensais e anuais disponíveis.
Quais são os funcionários do setor de marketing?,Você pode entrar em contato com o suporte técnico pelo e-mail ou chat.
Qual é a política de reembolso?,Temos planos mensais e anuais disponíveis.
Qual é a política de reembolso?,Você pode entrar em contato com o suporte técnico pelo e-mail ou chat.
Qual é a política de reembolso?,Temos planos mensais e anuais disponíveis.
"Quais são os horários de atendimento?,""O horário de atendimento é de segunda a sexta, das 9h às 18h."""
Quais são as formas de pagamento disponíveis?,Nossa política de reembolso é de 30 dias após a compra.
"Quais são os planos disponíveis?,""Para cancelar sua assinatura, acesse sua conta e clique em 'Cancelar Assinatura'."""
"Como faço para alterar minha senha?,""O horário de atendimento é de segunda a sexta, das 9h às 18h."""
"Quais são os funcionários do setor de marketing?,""Para cancelar sua assinatura, acesse sua conta e clique em 'Cancelar Assinatura'."""
Quais são as formas de pagamento disponíveis?,Você pode entrar em contato com o suporte técnico pelo e-mail ou chat.
"Quais são os planos disponíveis?,""Lucas Petry é o gerente de marketing, Rodrigo Tadewald é o CMO."""
